"author","comment","commentsCount","pageUrl","replyCount","title","type","videoID","voteCount"
"@_TMD_","— Знаешь, что безумно?))
— ты.

Он мой кумир","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@анютка-м2ж","теперь понятно почему она его бросила","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@Darksun788","The ending though ❤","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@Chinichocolate0000","😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@indianrecipe210","Aalu khaoge","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@LascaLeVrai","its just a car 🙄😳","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@maxedout1m354","bro is still dragging lunchly💔","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@MellowRLCS","Yoo in 7 secondsss","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","reply",,"2700"
"@thaerkamalkhalaf1664","Trueeeeeeeee❤❤❤❤❤❤","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","reply",,"1000"
"@its.selenaa","Okay","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","reply",,"557"
"@Victorishim","😂","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","reply",,"374"
"@XRTYTFF","Ayo 💀","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","reply",,"539"
"@Basolt","WHAT","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","reply",,"335"
"@antioof","super hero ahh","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","reply",,"278"
"@Rev67","MRBREAST","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","reply",,"252"
"@umarfaruk.i6140","Love u mrbeast❤❤❤","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","reply",,"177"
"@MANGOXME","Ohhh lol","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","reply",,"133"
"@MareanaMorales","Si","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"1"
"@MdPannuMolla-w6i","Najim","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@PakiFernandez-m5z","🤣🤣🤣🤣🤣🤣🤣🤣","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@PakiFernandez-m5z","Sussi es el peor","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@yeruksewyilma","what amazing i wish to have this kind of love","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@jesparningotansidauruk939","❤","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@TPOCfanMiky","This is the BEST MRBEAST’S VIDEO!❤","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@erickamitchell380","She’s sensitive","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@himanshutananvlogs4941","We want part 2","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@RohitsoTayang","Smiley😄","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@Choco_edition","Wow, it's great that you two got together 🥺🩷","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@eduardoaguirre2625","Muy lindo todo saludos desde Ledesma jujuy argentina","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@scisikhoclass8127","Very interesting at last","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@Lans_Dart","🦌","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@Shadowgaming100k-v1n","Do a challenge where someone has to quit smoking 🚭😔","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@KamuSaid-t1i","مشااللهء","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@GameST345","Мда...","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@aazadpanchi1","If I were there, it wouldn't have been so difficult, because we are friends even after the breakup. 😊","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"1"
